meeting_airport,total_cost,path1,cost1,path2,cost2
MSP,222,MSP,0,LAX->DEN->MSP,222
DEN,222,MSP->DEN,106,LAX->DEN,116
LAX,222,MSP->DEN->LAX,222,LAX,0
ORD,238,MSP->ORD,89,LAX->ORD,149
SEA,303,MSP->SEA,229,LAX->SEA,74
IAH,306,MSP->IAH,158,LAX->IAH,148
EWR,312,MSP->EWR,150,LAX->EWR,162
SFO,320,MSP->DEN->SFO,243,LAX->SFO,77
SJC,323,MSP->DEN->SJC,218,LAX->SJC,105
SAN,331,MSP->DEN->SAN,273,LAX->SAN,58
SAT,332,MSP->ORD->SAT,219,LAX->SAT,113
PHX,332,MSP->DEN->PHX,246,LAX->PHX,86
AUS,333,MSP->DEN->AUS,232,LAX->AUS,101
RNO,337,MSP->DEN->RNO,240,LAX->RNO,97
SMF,342,MSP->DEN->SMF,234,LAX->SMF,108
LAS,343,MSP->ORD->LAS,269,LAX->LAS,74
BWI,346,MSP->BWI,168,LAX->BWI,178
PDX,353,MSP->DEN->PDX,236,LAX->SEA->PDX,117
GRR,356,MSP->ORD->GRR,148,LAX->ORD->GRR,208
MFR,358,MSP->MFR,238,LAX->MFR,120
BOI,363,MSP->DEN->BOI,237,LAX->SEA->BOI,126
JFK,365,MSP->ORD->JFK,183,LAX->JFK,182
MKE,372,MSP->ORD->MKE,156,LAX->ORD->MKE,216
PIA,376,MSP->ORD->PIA,158,LAX->ORD->PIA,218
MSN,376,MSP->ORD->MSN,158,LAX->ORD->MSN,218
ABQ,384,MSP->DEN->ABQ,231,LAX->ABQ,153
OMA,384,MSP->DEN->OMA,194,LAX->OMA,190
BZN,385,MSP->ORD->BZN,253,LAX->SEA->BZN,132
MCI,392,MSP->ORD->MCI,208,LAX->MCI,184
COS,392,MSP->COS,188,LAX->DEN->COS,204
PSC,393,MSP->SEA->PSC,274,LAX->SEA->PSC,119
TUS,393,MSP->TUS,274,LAX->TUS,119
IND,394,MSP->ORD->IND,167,LAX->ORD->IND,227
MLI,396,MSP->ORD->MLI,168,LAX->ORD->MLI,228
EUG,397,MSP->SEA->EUG,276,LAX->SEA->EUG,121
RDM,397,MSP->SEA->RDM,276,LAX->SEA->RDM,121
GEG,397,MSP->SEA->GEG,276,LAX->SEA->GEG,121
CID,398,MSP->ORD->CID,169,LAX->ORD->CID,229
DSM,399,MSP->ORD->DSM,178,LAX->DSM,221
SLC,404,MSP->DEN->SLC,226,LAX->SEA->SLC,178
CMH,405,MSP->ORD->CMH,243,LAX->CMH,162
DTW,410,MSP->ORD->DTW,175,LAX->ORD->DTW,235
SPI,412,MSP->SPI,142,LAX->SPI,270
ONT,413,MSP->ONT,265,LAX->SEA->ONT,148
FNT,414,MSP->ORD->FNT,177,LAX->ORD->FNT,237
BDL,414,MSP->ORD->BDL,270,LAX->BDL,144
PIT,416,MSP->ORD->PIT,193,LAX->PIT,223
PSP,417,MSP->DEN->PSP,242,LAX->SFO->PSP,175
MCO,421,MSP->ORD->MCO,220,LAX->MCO,201
TVC,424,MSP->ORD->TVC,182,LAX->ORD->TVC,242
FWA,430,MSP->ORD->FWA,185,LAX->ORD->FWA,245
ATW,430,MSP->ORD->ATW,185,LAX->ORD->ATW,245
MTJ,430,MSP->DEN->MTJ,210,LAX->DEN->MTJ,220
CLT,432,MSP->ORD->CLT,186,LAX->ORD->CLT,246
JAC,434,MSP->JAC,240,LAX->JAC,194
BUR,435,MSP->BUR,245,LAX->SFO->BUR,190
DAY,436,MSP->ORD->DAY,188,LAX->ORD->DAY,248
GRB,436,MSP->ORD->GRB,188,LAX->ORD->GRB,248
BOS,438,MSP->ORD->BOS,214,LAX->BOS,224
CLE,440,MSP->ORD->CLE,190,LAX->ORD->CLE,250
SNA,442,MSP->DEN->SNA,294,LAX->SEA->SNA,148
ASE,443,MSP->ORD->ASE,260,LAX->ASE,183
LEX,444,MSP->ORD->LEX,192,LAX->ORD->LEX,252
ROC,446,MSP->ORD->ROC,193,LAX->ORD->ROC,253
STL,446,MSP->ORD->STL,206,LAX->PHX->STL,240
JNU,447,MSP->SEA->JNU,301,LAX->SEA->JNU,146
TPA,448,MSP->ORD->TPA,241,LAX->TPA,207
OAK,455,MSP->OAK,257,LAX->SEA->OAK,198
SDF,458,MSP->ORD->SDF,199,LAX->ORD->SDF,259
BNA,459,MSP->ORD->BNA,222,LAX->BNA,237
ICT,462,MSP->ORD->ICT,221,LAX->DEN->ICT,241
SAF,462,MSP->SAF,236,LAX->SAF,226
BUF,462,MSP->ORD->BUF,201,LAX->ORD->BUF,261
MFE,463,MSP->MFE,311,LAX->MFE,152
RSW,463,MSP->ORD->RSW,227,LAX->RSW,236
TUL,465,MSP->ORD->TUL,224,LAX->DEN->TUL,241
DCA,466,MSP->ORD->DCA,203,LAX->ORD->DCA,263
ORF,466,MSP->ORD->ORF,203,LAX->ORD->ORF,263
MYR,466,MSP->ORD->MYR,203,LAX->ORD->MYR,263
AVL,478,MSP->ORD->AVL,209,LAX->ORD->AVL,269
CVG,479,MSP->ORD->CVG,220,LAX->SEA->CVG,259
MHK,480,MSP->DEN->MHK,235,LAX->DEN->MHK,245
OKC,482,MSP->ORD->OKC,211,LAX->ORD->OKC,271
VPS,483,MSP->ORD->VPS,223,LAX->AUS->VPS,260
ANC,483,MSP->SEA->ANC,319,LAX->SEA->ANC,164
IAD,483,MSP->IAD,182,LAX->SEA->IAD,301
TYS,484,MSP->ORD->TYS,212,LAX->ORD->TYS,272
LGA,485,MSP->ORD->LGA,216,LAX->LGA,269
AMA,487,MSP->AMA,277,LAX->AMA,210
DFW,492,MSP->DEN->DFW,241,LAX->DEN->DFW,251
PBI,493,MSP->EWR->PBI,245,LAX->IAH->PBI,248
BGR,493,MSP->BGR,233,LAX->BGR,260
CHS,498,MSP->ORD->JFK->CHS,278,LAX->CHS,220
ELP,501,MSP->ELP,241,LAX->SFO->ELP,260
LGB,506,MSP->LGB,191,LAX->SFO->LGB,315
PVD,509,MSP->ORD->PVD,307,LAX->PVD,202
SRQ,510,MSP->ORD->SRQ,237,LAX->SEA->SRQ,273
PWM,512,MSP->ORD->PWM,243,LAX->PWM,269
FAR,512,MSP->ORD->FAR,226,LAX->ORD->FAR,286
LBB,512,MSP->LBB,242,LAX->LBB,270
ALB,512,MSP->ALB,224,LAX->ORD->ALB,288
SYR,513,MSP->ORD->JFK->SYR,257,LAX->JFK->SYR,256
SBA,516,MSP->SBA,244,LAX->DEN->SBA,272
JAN,517,MSP->JAN,272,LAX->AUS->JAN,245
SHV,521,MSP->SHV,272,LAX->SAT->SHV,249
MDW,521,MSP->MDW,152,LAX->ORD->DTW->MDW,369
CHA,521,MSP->CHA,249,LAX->SEA->RDM->CHA,272
RDU,523,MSP->ORD->RDU,260,LAX->JFK->RDU,263
MRY,523,MSP->MRY,266,LAX->SEA->PDX->MRY,257
LIT,525,MSP->LIT,279,LAX->LIT,246
EVV,526,MSP->EVV,189,LAX->AUS->EVV,337
MSY,526,MSP->ORD->MSY,259,LAX->MSY,267
FLL,527,MSP->EWR->FLL,266,LAX->SFO->FLL,261
AEX,533,MSP->AEX,256,LAX->IAH->AEX,277
BHM,536,MSP->BHM,240,LAX->AUS->BHM,296
PNS,540,MSP->PNS,258,LAX->SAN->PNS,282
ECP,542,MSP->ECP,244,LAX->ECP,298
MAF,548,MSP->DEN->SLC->MAF,338,LAX->AUS->MAF,210
RAP,551,MSP->ORD->RAP,251,LAX->SAT->RAP,300
CRP,552,MSP->CRP,301,LAX->CRP,251
PHF,553,MSP->EWR->PHF,279,LAX->BDL->PHF,274
FCA,557,MSP->ORD->FCA,284,LAX->LAS->FCA,273
EWN,560,MSP->EWN,249,LAX->JFK->EWN,311
ATL,562,MSP->EWR->ATL,280,LAX->MFE->ATL,282
JAX,562,MSP->ORD->JAX,281,LAX->JFK->JAX,281
MBS,562,MSP->MBS,267,LAX->MBS,295
MIA,562,MSP->IAH->MIA,286,LAX->IAH->MIA,276
GRK,564,MSP->IAH->GRK,287,LAX->IAH->GRK,277
FAT,565,MSP->FAT,328,LAX->SAN->FAT,237
SAV,565,MSP->ORD->JFK->SAV,283,LAX->JFK->SAV,282
HOU,566,MSP->HOU,268,LAX->SEA->BOI->HOU,298
HRL,572,MSP->DEN->HRL,313,LAX->HRL,259
IDA,575,MSP->IDA,269,LAX->IDA,306
PHL,576,MSP->ORD->PHL,258,LAX->ORD->PHL,318
KOA,576,MSP->DEN->LAX->KOA,399,LAX->KOA,177
FAY,578,MSP->FAY,278,LAX->FAY,300
SGF,578,MSP->ORD->SGF,259,LAX->ORD->SGF,319
OAJ,579,MSP->OAJ,259,LAX->OAJ,320
CHO,579,MSP->CHO,278,LAX->SEA->ONT->CHO,301
GSP,590,MSP->GSP,283,LAX->SAT->GSP,307
LIH,592,MSP->DEN->LAX->LIH,407,LAX->LIH,185
MEM,594,MSP->ORD->MEM,272,LAX->SAT->MEM,322
MDT,595,MSP->MDT,257,LAX->ORD->MDT,338
HSV,598,MSP->HSV,235,LAX->HSV,363
ROW,600,MSP->IAH->ROW,362,LAX->SAN->ROW,238
MHT,601,MSP->MHT,237,LAX->SAT->MHT,364
SBP,604,MSP->DEN->BOI->SBP,381,LAX->PHX->SBP,223
XNA,606,MSP->ORD->XNA,273,LAX->ORD->XNA,333
AGS,608,MSP->AGS,244,LAX->SEA->AGS,364
BTR,609,MSP->BTR,304,LAX->AUS->BTR,305
FSD,611,MSP->ORD->FSD,285,LAX->PHX->FSD,326
GPT,611,MSP->GPT,344,LAX->GPT,267
GJT,613,MSP->ORD->SAT->GJT,395,LAX->GJT,218
CYS,616,MSP->DEN->CYS,303,LAX->DEN->CYS,313
RIC,616,MSP->ORD->BOS->RIC,309,LAX->RIC,307
DRO,620,MSP->DRO,281,LAX->DRO,339
SGU,621,MSP->ORD->OKC->SGU,355,LAX->PHX->SGU,266
BMI,622,MSP->DEN->BMI,306,LAX->DEN->BMI,316
ABI,622,MSP->ORD->ICT->ABI,371,LAX->AUS->ABI,251
MOB,626,MSP->MOB,294,LAX->SEA->EUG->MOB,332
ROA,634,MSP->ROA,277,LAX->EWR->ROA,357
AZO,637,MSP->AZO,266,LAX->DSM->AZO,371
TXK,643,MSP->ORD->TXK,299,LAX->LAS->TXK,344
LFT,644,MSP->ORD->LFT,359,LAX->AUS->LFT,285
STS,644,MSP->DEN->PHX->STS,402,LAX->PHX->STS,242
ILM,645,MSP->ILM,282,LAX->SAN->ILM,363
BIL,653,MSP->DEN->BIL,386,LAX->BIL,267
HLN,656,MSP->HLN,360,LAX->SFO->HLN,296
SBY,658,MSP->ORD->SBY,299,LAX->ORD->SBY,359
LYH,658,MSP->ORD->LYH,299,LAX->ORD->LYH,359
OGG,661,MSP->ORD->OGG,416,LAX->KOA->OGG,245
CAE,661,MSP->CAE,301,LAX->CMH->CAE,360
MLU,662,MSP->IAH->MLU,360,LAX->SAT->MLU,302
AVP,663,MSP->ORD->AVP,313,LAX->SAN->AVP,350
MSO,663,MSP->DEN->OMA->MSO,394,LAX->SFO->MSO,269
FAI,671,MSP->ORD->FAI,325,LAX->SEA->PDX->FAI,346
TRI,677,MSP->TRI,266,LAX->EWR->TRI,411
CRW,683,MSP->CRW,313,LAX->PIT->CRW,370
FLG,684,MSP->ELP->FLG,384,LAX->AUS->FLG,300
HPN,686,MSP->ORD->HPN,313,LAX->ORD->HPN,373
GSO,688,MSP->GSO,291,LAX->AUS->GSO,397
LAN,688,MSP->LAN,271,LAX->ORD->LAN,417
MGM,689,MSP->MGM,312,LAX->IAH->MGM,377
COU,694,MSP->ORD->IND->COU,317,LAX->ORD->IND->COU,377
EAT,695,MSP->SEA->EAT,425,LAX->SEA->EAT,270
BLI,695,MSP->SEA->BLI,435,LAX->SAN->BLI,260
SUN,697,MSP->SEA->SUN,426,LAX->SEA->SUN,271
DAL,697,MSP->DAL,315,LAX->SEA->BOI->DAL,382
HNL,708,MSP->MDW->HNL,459,LAX->HNL,249
FSM,709,MSP->ORD->TVC->FSM,362,LAX->SFO->FSM,347
PAE,709,MSP->DEN->SAN->PAE,462,LAX->SAN->PAE,247
LSE,710,MSP->COS->LSE,368,LAX->SEA->BZN->LSE,342
LCH,714,MSP->ORD->LCH,390,LAX->SAT->LCH,324
CMI,714,MSP->ORD->TYS->CMI,341,LAX->PIT->CMI,373
SBN,714,MSP->EWR->SBN,368,LAX->SBN,346
ISP,727,MSP->ORD->CLT->ISP,397,LAX->PHX->ISP,330
GST,727,MSP->SEA->JNU->GST,441,LAX->SEA->JNU->GST,286
RST,740,MSP->RST,353,LAX->RST,387
BTV,743,MSP->MDT->BTV,379,LAX->BTV,364
GNV,743,MSP->ORD->GNV,359,LAX->GNV,384
YKM,745,MSP->SEA->YKM,450,LAX->SEA->YKM,295
HHH,746,MSP->BWI->HHH,368,LAX->BWI->HHH,378
HDN,747,MSP->DEN->RNO->HDN,451,LAX->PHX->HDN,296
EYW,748,MSP->ORD->EYW,390,LAX->SAN->EYW,358
SJT,748,MSP->ORD->SJT,406,LAX->SAT->SJT,342
TLH,748,MSP->IAH->TLH,379,LAX->IAH->TLH,369
CLL,752,MSP->ORD->DAY->CLL,389,LAX->ABQ->CLL,363
YUM,752,MSP->COS->YUM,368,LAX->DEN->COS->YUM,384
GTF,753,MSP->DEN->GTF,392,LAX->SJC->GTF,361
LAW,753,MSP->ORD->MSN->LAW,366,LAX->AUS->LAW,387
DLH,754,MSP->ORD->MKE->DLH,385,LAX->DLH,369
CAK,755,MSP->OAJ->CAK,409,LAX->BDL->CAK,346
BFF,756,MSP->DEN->BFF,373,LAX->DEN->BFF,383
LAR,756,MSP->DEN->LAR,373,LAX->DEN->LAR,383
ITO,758,MSP->DEN->LAX->LIH->ITO,490,LAX->LIH->ITO,268
SPS,762,MSP->ORD->MKE->SPS,351,LAX->ORD->MKE->SPS,411
BPT,772,MSP->ORD->ORF->BPT,454,LAX->SAN->BPT,318
ALW,775,MSP->SEA->ALW,465,LAX->SEA->ALW,310
LRD,776,MSP->DEN->LRD,429,LAX->PHX->LRD,347
GTR,778,MSP->DEN->GTR,393,LAX->ABQ->GTR,385
BRO,778,MSP->DEN->BRO,449,LAX->TUS->BRO,329
BIS,782,MSP->ORD->BIS,371,LAX->AUS->BIS,411
PGV,782,MSP->ORD->AVL->PGV,377,LAX->MCO->PGV,405
ABE,795,MSP->OAJ->ABE,388,LAX->AUS->ABE,407
RDD,798,MSP->DEN->PDX->RDD,466,LAX->SEA->RDD,332
SIT,809,MSP->SEA->JNU->SIT,482,LAX->SEA->JNU->SIT,327
CWA,810,MSP->CWA,386,LAX->SEA->SLC->CWA,424
SCE,810,MSP->ORD->ORF->SCE,394,LAX->BOS->SCE,416
DAB,814,MSP->DAB,387,LAX->BDL->DAB,427
EGE,818,MSP->IAH->EGE,414,LAX->IAH->EGE,404
PRC,820,MSP->DEN->PRC,483,LAX->PRC,337
PUW,825,MSP->SEA->PUW,490,LAX->SEA->PUW,335
ACT,833,MSP->ORD->OKC->ACT,390,LAX->ACT,443
PQI,834,MSP->ORD->BOS->PQI,412,LAX->BOS->PQI,422
BFL,838,MSP->BFL,387,LAX->PHX->BFL,451
PSG,839,MSP->SEA->JNU->PSG,497,LAX->SEA->JNU->PSG,342
TYR,848,MSP->ORD->PHL->TYR,528,LAX->SAN->TYR,320
HTS,853,MSP->ORD->OKC->HTS,421,LAX->MFE->ATL->HTS,432
ERI,856,MSP->ORD->MCI->ERI,440,LAX->MCI->ERI,416
YAK,857,MSP->SEA->JNU->YAK,506,LAX->SEA->JNU->YAK,351
WRG,863,MSP->SEA->JNU->WRG,509,LAX->SEA->JNU->WRG,354
MLB,865,MSP->ORD->DAY->MLB,431,LAX->MLB,434
GCC,876,MSP->DEN->GCC,433,LAX->DEN->GCC,443
SUX,876,MSP->DEN->SUX,433,LAX->DEN->SUX,443
RKS,876,MSP->DEN->RKS,433,LAX->DEN->RKS,443
DDC,876,MSP->DEN->DDC,433,LAX->DEN->DDC,443
HYS,876,MSP->DEN->HYS,433,LAX->DEN->HYS,443
FLO,884,MSP->ORD->OKC->FLO,443,LAX->RIC->FLO,441
MQT,885,MSP->ORD->SDF->MQT,418,LAX->MCO->MQT,467
SLN,896,MSP->DEN->SLN,443,LAX->DEN->SLN,453
RIW,896,MSP->DEN->RIW,443,LAX->DEN->RIW,453
SHR,896,MSP->DEN->SHR,443,LAX->DEN->SHR,453
KTN,903,MSP->SEA->JNU->KTN,529,LAX->SEA->JNU->KTN,374
ART,926,MSP->IAH->ART,468,LAX->IAH->ART,458
VRB,947,MSP->ORD->PVD->VRB,526,LAX->PVD->VRB,421
BTM,956,MSP->DEN->BTM,473,LAX->DEN->BTM,483
ALO,956,MSP->ORD->PHL->ALO,448,LAX->ORD->PHL->ALO,508
MOT,980,MSP->ORD->MCI->MOT,502,LAX->MCI->MOT,478
GRI,982,MSP->EWR->ATL->GRI,490,LAX->MFE->ATL->GRI,492
GCK,982,MSP->EWR->ATL->GCK,490,LAX->MFE->ATL->GCK,492
CDV,985,MSP->SEA->ANC->CDV,570,LAX->SEA->ANC->CDV,415
CMX,992,MSP->ORD->CMX,466,LAX->ORD->CMX,526
ORH,993,MSP->EWR->FLL->ORH,499,LAX->SFO->FLL->ORH,494
HVN,997,MSP->ORD->MCO->HVN,508,LAX->MCO->HVN,489
SWO,998,MSP->ORD->SDF->SWO,469,LAX->ORD->SDF->SWO,529
JLN,1016,MSP->DEN->JLN,503,LAX->DEN->JLN,513
MGW,1017,MSP->IAD->MGW,449,LAX->SEA->IAD->MGW,568
JST,1017,MSP->IAD->JST,449,LAX->SEA->IAD->JST,568
PLN,1038,MSP->BWI->PLN,514,LAX->BWI->PLN,524
XWA,1044,MSP->IAD->XWA,486,LAX->ABQ->XWA,558
ADQ,1044,MSP->ORD->ADQ,590,LAX->SEA->ANC->ADQ,454
CIU,1046,MSP->ORD->CLE->CIU,506,LAX->SFO->CIU,540
PIB,1060,MSP->IAH->PIB,535,LAX->IAH->PIB,525
BET,1061,MSP->SEA->ANC->BET,608,LAX->SEA->ANC->BET,453
JMS,1076,MSP->DEN->JMS,533,LAX->DEN->JMS,543
MEI,1080,MSP->IAH->MEI,545,LAX->IAH->MEI,535
ESC,1082,MSP->ESC,430,LAX->DEN->MSP->ESC,652
AKN,1095,MSP->SEA->ANC->AKN,625,LAX->SEA->ANC->AKN,470
DLG,1095,MSP->SEA->ANC->DLG,625,LAX->SEA->ANC->DLG,470
DVL,1096,MSP->DEN->DVL,543,LAX->DEN->DVL,553
RHI,1120,MSP->ORD->STL->RHI,543,LAX->PHX->STL->RHI,577
LWS,1131,MSP->SEA->LWS,643,LAX->SEA->LWS,488
TWF,1132,MSP->DEN->TWF,597,LAX->LAS->TWF,535
ITH,1137,MSP->ORD->JFK->ITH,569,LAX->JFK->ITH,568
PIH,1146,MSP->DEN->SLC->PIH,597,LAX->SEA->SLC->PIH,549
OTZ,1155,MSP->SEA->ANC->OTZ,655,LAX->SEA->ANC->OTZ,500
OME,1161,MSP->SEA->ANC->OME,658,LAX->SEA->ANC->OME,503
COD,1176,MSP->DEN->COD,583,LAX->DEN->COD,593
BRW,1195,MSP->SEA->ANC->BRW,675,LAX->SEA->ANC->BRW,520
BJI,1220,MSP->ORD->BJI,580,LAX->ORD->BJI,640
INL,1220,MSP->ORD->INL,580,LAX->ORD->INL,640
EKO,1236,MSP->DEN->EKO,613,LAX->DEN->EKO,623
SCC,1243,MSP->ORD->FAI->SCC,658,LAX->SEA->ANC->SCC,585
DHN,1263,MSP->ORD->CLT->DHN,632,LAX->MCO->DHN,631
GFK,1267,MSP->ORD->GFK,612,LAX->DEN->GFK,655
GGG,1272,MSP->DEN->DFW->GGG,631,LAX->DEN->DFW->GGG,641
ELM,1272,MSP->ORD->DTW->ELM,606,LAX->ORD->DTW->ELM,666
DIK,1276,MSP->DEN->DIK,633,LAX->DEN->DIK,643
ABY,1279,MSP->ORD->ABY,643,LAX->CHS->ABY,636
PVU,1292,MSP->DEN->SNA->PVU,719,LAX->SEA->SNA->PVU,573
BGM,1302,MSP->ORD->DTW->BGM,621,LAX->ORD->DTW->BGM,681
ACV,1309,MSP->DEN->PDX->ACV,714,LAX->SEA->PDX->ACV,595
APN,1326,MSP->ORD->DCA->APN,633,LAX->ORD->DCA->APN,693
HOB,1356,MSP->DEN->HOB,673,LAX->DEN->HOB,683
VLD,1370,MSP->ORD->VLD,673,LAX->GPT->VLD,697
BQK,1374,MSP->ORD->BQK,673,LAX->BWI->BQK,701
LNK,1448,MSP->ORD->STL->LNK,707,LAX->PHX->STL->LNK,741
CPR,1489,MSP->DEN->BOI->CPR,800,LAX->SEA->BOI->CPR,689
ABR,1552,MSP->DEN->ABQ->ABR,815,LAX->ABQ->ABR,737
IMT,1608,MSP->ORD->DCA->IMT,774,LAX->ORD->DCA->IMT,834
CDC,1660,MSP->IAH->CDC,835,LAX->IAH->CDC,825
BRD,1778,MSP->DEN->PHX->BRD,969,LAX->PHX->BRD,809
